ts,lst,intrinsic_sol,dex_price_sol,disc_pct,dex,pool_liq_usd,net_after_costs_pct,actionable
2026-07-09T05:01:05.427180+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T05:15:39.384050+00:00,jitoSOL,1.275866,1.2881,-0.9589,orca,6275807,-1.1589,0
2026-07-09T05:15:39.384050+00:00,mSOL,1.376648,1.3892,-0.9118,meteora,1408323,-1.1118,0
2026-07-09T05:15:39.384050+00:00,bSOL,1.290721,1.3027,-0.9281,orca,470268,-1.1281,0
2026-07-09T05:15:39.384050+00:00,INF,1.407837,1.4335,-1.8228,meteora,247899,-2.0228,0
2026-07-09T05:15:39.384050+00:00,jupSOL,1.183945,1.196,-1.0182,orca,159599,-1.2182,0
2026-07-09T05:15:39.384050+00:00,bnSOL,1.110411,1.1198,-0.8455,meteora,492,-1.0455,0
2026-07-09T05:15:39.384050+00:00,hSOL,1.162059,0.0,100.0,pumpfun,0,99.8,0
2026-07-09T05:30:47.548030+00:00,jitoSOL,1.275866,1.2883,-0.9745,orca,6248938,-1.1745,0
2026-07-09T05:30:47.548030+00:00,mSOL,1.376648,1.3892,-0.9118,meteora,1410473,-1.1118,0
2026-07-09T05:30:47.548030+00:00,bSOL,1.290721,1.3027,-0.9281,orca,468583,-1.1281,0
2026-07-09T05:30:47.548030+00:00,INF,1.407837,1.4343,-1.8797,meteora,247073,-2.0797,0
